,H-1B期间可以为多位雇主工作吗？对工作和雇主有额外要求吗？,H-1B期间被Layoff怎么办？,H-1B换工作transfer需要做什么呢？,现在面签被取消无法进行境外转换身份该怎么办？,"Visa 过期了或者opt grace period即将到期，因疫情无法回国，但也没办法做正常身份延期怎么办？
",B1/B2签证快到期但因疫情航班被取消，已经延期过一次还可以再延期吗？,2020年 H-1B注册重要的时间截点,还没拿到硕士学位怎么办？H-1B可以按照master cap抽签吗？,所有美国硕士学位都可以按master抽签吗？
H-1B期间可以为多位雇主工作吗？对工作和雇主有额外要求吗？,5,1,4,1,0,0,0,1,1
H-1B期间被Layoff怎么办？,1,5,4,4,2,0,0,1,1
H-1B换工作transfer需要做什么呢？,4,4,5,3,0,0,0,1,1
现在面签被取消无法进行境外转换身份该怎么办？,0,2,3,5,0,0,2,1,1
"Visa 过期了或者opt grace period即将到期，因疫情无法回国，但也没办法做正常身份延期怎么办？
",0,0,0,0,5,0,0,0,0
B1/B2签证快到期但因疫情航班被取消，已经延期过一次还可以再延期吗？,0,0,0,0,0,5,0,0,0
2020年 H-1B注册重要的时间截点,0,0,1,0,0,0,5,3,3
还没拿到硕士学位怎么办？H-1B可以按照master cap抽签吗？,0,0,1,0,0,0,3,5,5
所有美国硕士学位都可以按master抽签吗？,0,0,1,0,0,0,3,5,5
可不可以多个公司一起帮我抽签H-1B？,4,0,1,0,0,0,3,4,4
2020年H-1B怎么准备资料？注册前准备还是抽签后？,1,0,1,0,0,0,4,4,4
如果H-1B批准了但是还没有转换身份可以办绿卡吗？,2,1,2,0,0,0,1,3,3
H-1B对薪资有什么要求？,5,1,5,0,0,0,1,2,2
H-1B是不是工资越高越好？,5,1,5,0,0,0,1,2,2
H-1B工资不满足要求，怎么办？,5,1,5,0,0,0,1,2,2
H-1B 申请被Deny还有这些方法可以逆转局势？,4,0,5,0,0,0,1,2,2
我去年的H-1B还在Pending，还可以参加今年的抽签吗？会不会有duplicate petition的风险？,0,0,1,0,0,0,2,1,1
我去年的H-1B被deny了，目前正在appeal。我今年还能参加抽签吗？如果抽中的话appeal还能继续吗？,0,0,1,0,0,0,2,1,1
没有毕业可以抽H-1B吗？,0,0,0,0,0,0,2,5,5
可不可以有多个雇主为同时提交H-1B transfer的申请？,4,3,0,0,0,0,4,3,3
拿到H-1B才能办绿卡吗？,1,1,4,0,0,0,2,1,1
H1B期间可以为两位雇主工作吗？,5,0,5,0,0,0,4,2,2
如何查询H1B抽签结果,0,0,0,0,0,0,5,5,5
H1B pending期间是否可以回国？,4,3,5,2,0,0,3,3,3
H1B期间换工作需要做些什么？,4,4,5,0,0,0,1,1,1
没有H1B可以申请工作绿卡吗？,0,3,0,0,0,0,2,1,1
Part-time工作可以申请H1B吗？,4,3,5,0,0,0,2,2,2
申请STEM OPT需要满足什么条件？,0,0,0,0,0,0,0,0,0
J-1身份一定要回国服役两年吗？,0,0,0,0,0,0,0,1,1
可以同时让多家公司为我申请H1B吗？,5,2,4,0,0,0,4,3,3
关于OPT Extension的申请,0,0,0,0,0,0,0,0,0
申请H1B对工资有何要求？,4,2,5,0,0,0,4,2,2
一个人一辈子只能有一次OPT吗？,0,0,0,0,0,0,0,0,0
非营利机构可以不抽签直接申请H1B吗？,0,0,1,0,0,0,4,2,2
OPT期间可否回国,0,0,0,1,0,0,0,0,0
OPT期间可否同时为两位雇主工作？,0,0,0,2,0,0,0,0,0
H1B抽中之后我需要做什么？,1,0,0,0,0,0,5,5,5
EB2/EB3 PERM的流程以及时间安排,0,0,0,0,0,0,0,0,0
拥有L1 Visa多久后可以申请EB1-C？,0,0,0,0,0,0,0,0,0
何时可以正式开始绿卡排期？,0,0,0,0,0,0,0,0,0
可以同时申请EB-1A、EB-2、EB-3吗？,0,0,0,0,0,0,0,0,0
拿到140 approval notice有什么好处,0,0,0,0,0,0,0,0,0
拿H1B之后可以在美国待多久？,2,0,4,0,0,0,3,2,2
H1B期间离职停薪的风险,0,5,3,0,0,0,2,0,0
H1B Transfer被deny后还有没有Grace Period,1,0,5,0,0,0,3,0,0
